company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,2012,+,-,-,Reinvestor
ABB,2014,+,-,-,Reinvestor
ABB,2015,+,-,-,Reinvestor
ABB,2016,+,-,-,Reinvestor
ABB,2017,+,-,-,Reinvestor
ABB,2018,+,-,-,Reinvestor
ABB,2019,+,-,-,Reinvestor
ABB,2020,+,-,-,Reinvestor
ABB,2021,+,-,-,Reinvestor
ABB,2022,+,-,-,Reinvestor
ABB,2023,+,-,-,Reinvestor
ABB,2024,+,-,-,Reinvestor
ADANIENSOL,2014,+,+,+,Cash Accumulator
ADANIENSOL,2015,-,-,+,Growth Funded by Debt
ADANIENSOL,2016,+,-,-,Reinvestor
ADANIENSOL,2017,+,-,-,Reinvestor
ADANIENSOL,2018,+,-,+,Mixed
ADANIENSOL,2019,+,-,+,Mixed
ADANIENSOL,2020,+,-,+,Mixed
ADANIENSOL,2021,+,-,-,Reinvestor
ADANIENSOL,2022,+,-,-,Reinvestor
ADANIENSOL,2023,+,-,+,Mixed
ADANIENSOL,2024,+,-,-,Reinvestor
ADANIENT,2013,+,-,+,Mixed
ADANIENT,2014,+,-,-,Reinvestor
ADANIENT,2015,+,-,+,Mixed
ADANIENT,2016,+,-,-,Reinvestor
ADANIENT,2017,+,-,+,Mixed
ADANIENT,2018,+,-,+,Mixed
ADANIENT,2019,+,+,-,Liquidating Assets
ADANIENT,2020,+,-,-,Reinvestor
ADANIENT,2021,+,-,+,Mixed
ADANIENT,2022,+,-,+,Mixed
ADANIENT,2023,+,-,-,Reinvestor
ADANIENT,2024,+,-,+,Mixed
ADANIGREEN,2017,+,-,+,Mixed
ADANIGREEN,2018,+,-,+,Mixed
ADANIGREEN,2019,+,-,+,Mixed
ADANIGREEN,2020,+,-,+,Mixed
ADANIGREEN,2021,+,-,+,Mixed
ADANIGREEN,2022,+,-,+,Mixed
ADANIGREEN,2023,+,-,-,Reinvestor
ADANIGREEN,2024,+,-,+,Mixed
ADANIPORTS,2013,+,-,+,Mixed
ADANIPORTS,2014,+,-,+,Mixed
ADANIPORTS,2015,+,-,-,Reinvestor
ADANIPORTS,2016,+,-,+,Mixed
ADANIPORTS,2017,+,-,-,Reinvestor
ADANIPORTS,2018,+,-,-,Reinvestor
ADANIPORTS,2019,+,-,+,Mixed
ADANIPORTS,2020,+,-,-,Reinvestor
ADANIPORTS,2021,+,-,+,Mixed
ADANIPORTS,2022,+,-,-,Reinvestor
ADANIPORTS,2023,+,-,-,Reinvestor
ADANIPORTS,2024,+,-,-,Reinvestor
ADANIPOWER,2013,+,-,+,Mixed
ADANIPOWER,2014,+,-,+,Mixed
ADANIPOWER,2015,+,-,-,Reinvestor
ADANIPOWER,2016,+,-,-,Reinvestor
ADANIPOWER,2017,+,-,-,Reinvestor
ADANIPOWER,2018,+,-,-,Reinvestor
ADANIPOWER,2019,+,-,-,Reinvestor
ADANIPOWER,2020,+,-,-,Reinvestor
ADANIPOWER,2021,+,-,-,Reinvestor
ADANIPOWER,2022,+,+,-,Liquidating Assets
ADANIPOWER,2023,+,+,-,Liquidating Assets
ADANIPOWER,2024,+,+,-,Liquidating Assets
AMBUJACEM,2012,+,-,-,Reinvestor
AMBUJACEM,2013,+,-,-,Reinvestor
AMBUJACEM,2014,+,-,-,Reinvestor
AMBUJACEM,2015,+,-,-,Reinvestor
AMBUJACEM,2016,+,-,-,Reinvestor
AMBUJACEM,2017,+,-,-,Reinvestor
AMBUJACEM,2018,+,-,-,Reinvestor
AMBUJACEM,2019,+,-,-,Reinvestor
AMBUJACEM,2020,+,-,-,Reinvestor
AMBUJACEM,2021,+,-,-,Reinvestor
AMBUJACEM,2023,+,-,+,Mixed
AMBUJACEM,2024,+,-,+,Mixed
APOLLOHOSP,2013,+,-,+,Mixed
APOLLOHOSP,2014,+,-,-,Reinvestor
APOLLOHOSP,2015,+,-,+,Mixed
APOLLOHOSP,2016,+,-,+,Mixed
APOLLOHOSP,2017,+,-,+,Mixed
APOLLOHOSP,2018,+,-,-,Reinvestor
APOLLOHOSP,2019,+,-,-,Reinvestor
APOLLOHOSP,2020,+,-,-,Reinvestor
APOLLOHOSP,2021,+,-,-,Reinvestor
APOLLOHOSP,2022,+,-,-,Reinvestor
APOLLOHOSP,2023,+,-,-,Reinvestor
APOLLOHOSP,2024,+,-,-,Reinvestor
ASIANPAINT,2013,+,-,-,Reinvestor
ASIANPAINT,2014,+,-,-,Reinvestor
ASIANPAINT,2015,+,-,-,Reinvestor
ASIANPAINT,2016,+,-,-,Reinvestor
ASIANPAINT,2017,+,-,-,Reinvestor
ASIANPAINT,2018,+,-,-,Reinvestor
ASIANPAINT,2019,+,-,-,Reinvestor
ASIANPAINT,2020,+,-,-,Reinvestor
ASIANPAINT,2021,+,-,-,Reinvestor
ASIANPAINT,2022,+,-,-,Reinvestor
ASIANPAINT,2023,+,-,-,Reinvestor
ASIANPAINT,2024,+,-,-,Reinvestor
ATGL,2018,+,-,+,Mixed
ATGL,2019,+,+,-,Liquidating Assets
ATGL,2020,+,-,-,Reinvestor
ATGL,2021,+,-,+,Mixed
ATGL,2022,+,-,+,Mixed
ATGL,2023,+,-,+,Mixed
ATGL,2024,+,-,-,Reinvestor
AXISBANK,2013,+,-,+,Mixed
AXISBANK,2014,+,-,+,Mixed
AXISBANK,2015,-,-,+,Growth Funded by Debt
AXISBANK,2016,-,+,+,Distress Signal
AXISBANK,2017,+,-,-,Reinvestor
AXISBANK,2018,-,-,+,Growth Funded by Debt
AXISBANK,2019,+,-,+,Mixed
AXISBANK,2020,+,-,+,Mixed
AXISBANK,2021,+,-,+,Mixed
AXISBANK,2022,+,-,+,Mixed
AXISBANK,2023,+,-,+,Mixed
AXISBANK,2024,-,-,+,Growth Funded by Debt
BAJAJ-AUTO,2013,+,-,-,Reinvestor
BAJAJ-AUTO,2014,+,-,-,Reinvestor
BAJAJ-AUTO,2015,+,-,-,Reinvestor
BAJAJ-AUTO,2016,+,-,-,Reinvestor
BAJAJ-AUTO,2017,+,-,-,Reinvestor
BAJAJ-AUTO,2018,+,-,-,Reinvestor
BAJAJ-AUTO,2019,+,-,-,Reinvestor
BAJAJ-AUTO,2020,+,+,-,Liquidating Assets
BAJAJ-AUTO,2021,+,-,-,Reinvestor
BAJAJ-AUTO,2022,+,+,-,Liquidating Assets
BAJAJ-AUTO,2023,+,+,-,Liquidating Assets
BAJAJ-AUTO,2024,+,-,-,Reinvestor
BAJAJFINSV,2013,-,+,+,Distress Signal
BAJAJFINSV,2014,-,+,+,Distress Signal
BAJAJFINSV,2015,-,+,+,Distress Signal
BAJAJFINSV,2016,-,-,+,Growth Funded by Debt
BAJAJFINSV,2017,-,+,+,Distress Signal
BAJAJFINSV,2018,-,-,+,Growth Funded by Debt
BAJAJFINSV,2019,-,-,+,Growth Funded by Debt
BAJAJFINSV,2020,-,-,+,Growth Funded by Debt
BAJAJFINSV,2021,+,-,+,Mixed
BAJAJFINSV,2022,-,+,+,Distress Signal
BAJAJFINSV,2023,-,-,+,Growth Funded by Debt
BAJAJFINSV,2024,-,-,+,Growth Funded by Debt
BAJAJHLDNG,2013,+,-,-,Reinvestor
BAJAJHLDNG,2014,+,-,-,Reinvestor
BAJAJHLDNG,2015,+,-,-,Reinvestor
BAJAJHLDNG,2016,+,+,-,Liquidating Assets
BAJAJHLDNG,2017,-,-,-,Pre-Revenue
BAJAJHLDNG,2018,+,-,-,Reinvestor
BAJAJHLDNG,2019,+,-,-,Reinvestor
BAJAJHLDNG,2020,+,-,-,Reinvestor
BAJAJHLDNG,2021,+,-,-,Reinvestor
BAJAJHLDNG,2022,+,-,-,Reinvestor
