company_id,company_name,sector,sub_sector,year,sales,net_profit,operating_profit,operating_activity,investing_activity,cfo_pat_ratio,fcf,fcf_conversion_pct,capex_intensity_pct,cfo_quality,capex_intensity_class,cash_profit_alignment,fcf_status,cash_flow_risk,cash_flow_score
TECHM,Tech Mahindra Ltd,Information Technology,IT Services,2024,51996,2397,4506.0,6376.0,-1318.0,2.6599916562369628,5058.0,112.2503328894807,2.5348103700284637,Strong,Low,Strong,Positive,False,100.0
BRITANNIA,Britannia Industries Ltd,Consumer Staples,Food Products,2024,16769,2134,3167.0,2573.0,477.0,1.2057169634489222,3050.0,96.30565203662772,2.844534557815016,Strong,Low,Strong,Positive,False,99.45
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,2024,10728,1656,3368.0,3266.0,-160.0,1.9722222222222223,3106.0,92.2209026128266,1.4914243102162565,Strong,Low,Strong,Positive,False,98.83
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,Pharmaceuticals,2024,48497,9610,13018.0,12135.0,-763.0,1.2627471383975026,11372.0,87.35596865878014,1.5732931933934058,Strong,Low,Strong,Positive,False,98.1
BPCL,Bharat Petroleum Corporation Ltd,Energy,Oil & Gas Refining,2024,448083,26859,44082.0,35936.0,-10521.0,1.3379500353698945,25415.0,57.65391769883399,2.3480024906099985,Strong,Low,Strong,Positive,False,93.65
IOC,Indian Oil Corporation,Energy,Oil & Gas Refining,2024,776352,43161,75646.0,71099.0,-31464.0,1.6472973286068442,39635.0,52.39536789783994,4.052800791393595,Strong,Low,Strong,Positive,False,92.86
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,Automobiles,2024,437928,31807,59538.0,67915.0,-22782.0,2.135221806520577,45133.0,75.80536800026874,5.2022250232915,Strong,Moderate,Strong,Positive,False,92.62
HCLTECH,HCL Technologies Ltd,Information Technology,IT Services,2024,109913,15710,24198.0,22448.0,-6608.0,1.428898790579249,15840.0,65.45995536821225,6.012027694631208,Strong,Moderate,Strong,Positive,False,91.07
IRFC,Indian Railway Finance Corporation Ltd,Financials,Speciality Finance,2024,26645,6412,26513.0,7914.0,-8.0,1.2342482844666252,7906.0,29.819333911665975,0.030024394820791892,Strong,Low,Strong,Positive,False,89.47
TCS,Tata Consultancy Services Ltd,Information Technology,IT Services,2024,240893,46099,64296.0,44338.0,6091.0,0.9617996051975097,50429.0,78.43256190120692,2.528508507926756,Healthy,Low,Moderate,Positive,False,88.76
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,Two Wheelers,2024,44870,7708,8765.0,6558.0,-72.0,0.8508043591074209,6486.0,73.99885909868796,0.16046356139959886,Healthy,Low,Moderate,Positive,False,88.1
ITC,ITC Ltd,Consumer Staples,Diversified FMCG,2024,70866,20751,26233.0,17179.0,1563.0,0.8278637174112091,18742.0,71.44436396904662,2.205571077808822,Healthy,Low,Moderate,Positive,False,87.72
SHREECEM,Shree Cement Ltd,Materials,Cement,2024,20521,1733,4518.0,3347.0,-1418.0,1.93133294864397,1929.0,42.69588313413015,6.9099946396374445,Strong,Moderate,Strong,Positive,False,87.65
ONGC,Oil & Natural Gas Corpn Ltd,Energy,Oil & Gas Exploration,2024,591396,57101,102835.0,99263.0,-57203.0,1.7383758603176827,42060.0,40.90047162930909,9.672537521390066,Strong,Moderate,Strong,Positive,False,87.39
