id,company_id,year_balance,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,year_profit,sales,expenses,operating_profit,net_profit,broad_sector,sub_sector,market_cap_category,inventory_available,receivables_available,payables_available,ccc_status,operating_expense_ratio,current_assets_proxy,current_liabilities_proxy,working_capital_proxy,current_ratio_proxy,working_capital_status
160,ADANIENSOL,Sep 2024,1201.0,19784,39009,9113,69107,38186,4355,1608,24958,69107,TTM,22099,15507,6592.0,589,Energy,Power & Utilities,Large Cap,False,False,False,CCC Data Unavailable,0.7017,26566,48122,-21556,0.55,Negative
182,ADANIENT,Sep 2024,114.0,41782,80427,59445,181768,84751,29745,10322,56949,181768,TTM,102311,88418,13893.0,6086,Industrials,Conglomerates,Large Cap,False,False,False,CCC Data Unavailable,0.8642,67271,139872,-72601,0.48,Negative
200,ADANIGREEN,Sep 2024,1584.0,8992,67430,20252,98258,64632,14617,2331,16678,98258,TTM,10782,2682,8100.0,1928,Energy,Renewable Energy,Large Cap,False,False,False,CCC Data Unavailable,0.2487,19009,87682,-68673,0.22,Negative
213,ADANIPORTS,Sep 2024,432.0,56744,50485,18354,126015,79136,13328,4489,29062,126015,TTM,28443,11278,17165.0,9743,Industrials,Infrastructure,Large Cap,False,False,False,CCC Data Unavailable,0.3965,33551,68839,-35288,0.49,Negative
226,ADANIPOWER,Sep 2024,3857.0,52097,37705,17125,110784,71147,9455,321,29863,110784,TTM,54650,33685,20965.0,12686,Energy,Power & Utilities,Large Cap,False,False,False,CCC Data Unavailable,0.6164,30184,54830,-24646,0.55,Negative
252,APOLLOHOSP,Sep 2024,72.0,7429,7371,4676,19548,10201,1042,1012,7293,19548,TTM,20469,17725,2745.0,1224,Healthcare,Healthcare,Large Cap,False,False,False,CCC Data Unavailable,0.8659,8305,12047,-3742,0.69,Negative
286,ATGL,Sep 2024,110.0,3801,1457,1474,6842,3421,1527,922,974,6842,TTM,4826,3672,1153.0,668,Energy,Gas Distribution,Large Cap,False,False,False,CCC Data Unavailable,0.7609,1896,2931,-1035,0.65,Negative
386,BHARTIARTL,Sep 2024,2896.0,84202,225541,148344,460982,330199,8753,34438,87592,460982,TTM,155478,74745,80733.0,13816,Communication Services,Telecommunications,Large Cap,False,False,False,CCC Data Unavailable,0.4807,122030,373885,-251855,0.33,Negative
425,BPCL,Sep 2024,4273.0,72835,58880,75238,211226,100261,9127,27239,74599,211226,TTM,445601,419046,26554.0,13734,Energy,Oil & Gas Refining,Large Cap,False,False,False,CCC Data Unavailable,0.9404,101838,134118,-32280,0.76,Negative
489,COALINDIA,Sep 2024,6163.0,90034,7816,145345,249359,83642,16129,9058,140529,249359,TTM,140328,875,93717.0,34350,Materials,Mining & Metals,Large Cap,False,False,False,CCC Data Unavailable,0.0062,149587,153161,-3574,0.98,Negative
606,GRASIM,Sep 2024,134.0,92784,158159,197376,448454,109643,15903,102453,220454,448454,TTM,137116,109610,27506.0,8693,Industrials,Diversified Industrials,Mid Cap,False,False,False,CCC Data Unavailable,0.7994,322907,355535,-32628,0.91,Negative
616,HAL,Sep 2024,5.0,202,124,145,476,244,3,48,181,476,TTM,31154,21199,9954.0,8472,Industrials,Defence & Aerospace,Large Cap,False,False,False,CCC Data Unavailable,0.6805,229,269,-40,0.85,Negative
705,HINDALCO,Sep 2024,222.0,114954,60959,76129,252264,111404,22341,22453,96066,252264,TTM,224018,3560,196087.0,12488,Materials,Metals & Mining,Large Cap,False,False,False,CCC Data Unavailable,0.0159,118519,137088,-18569,0.86,Negative
718,HINDUNILVR,Sep 2024,235.0,50541,1651,28338,80765,54027,1022,4316,21400,80765,TTM,62661,420,47902.0,10757,Consumer Staples,FMCG,Mid Cap,False,False,False,CCC Data Unavailable,0.0067,25716,29989,-4273,0.86,Negative
807,IOC,Sep 2024,13772.0,167594,163401,165544,510310,202737,66316,70178,171079,510310,TTM,761485,728555,32930.0,10909,Energy,Oil & Gas Refining,Mid Cap,False,False,False,CCC Data Unavailable,0.9568,241257,328945,-87688,0.73,Negative
1048,JINDALSTEL,Sep 2024,101.0,47240,17266,18163,82771,49332,12418,863,20158,82771,TTM,50019,39693,10327.0,5060,Materials,Steel,Large Cap,False,False,False,CCC Data Unavailable,0.7936,21021,35429,-14408,0.59,Negative
1032,JSWENERGY,Sep 2024,1745.0,26226,30853,6108,64932,31573,10410,10101,12847,64932,TTM,11416,6034,5382.0,1988,Energy,Power & Utilities,Mid Cap,False,False,False,CCC Data Unavailable,0.5286,22948,36961,-14013,0.62,Negative
1019,JSWSTEEL,Sep 2024,305.0,79361,95258,58244,233168,114294,29555,10740,78579,233168,TTM,170274,147796,22478.0,3312,Materials,Steel,Large Cap,False,False,False,CCC Data Unavailable,0.868,89319,153502,-64183,0.58,Negative
922,MOTHERSON,Sep 2024,704.0,31930,25417,39828,97879,32455,2693,6615,56115,97879,TTM,109382,98908,10474.0,4123,Consumer Discretionary,Auto Ancillaries,Large Cap,False,False,False,CCC Data Unavailable,0.9042,62730,65245,-2515,0.96,Negative
896,NESTLEIND,Sep 2024,96.0,3894,370,6747,11108,3925,2340,786,4057,11108,TTM,19786,15060,4726.0,3323,Consumer Staples,Food Products,Large Cap,False,False,False,CCC Data Unavailable,0.7611,4843,7117,-2274,0.68,Negative
883,NHPC,Sep 2024,10045.0,30104,34210,23322,97681,21286,44386,499,31511,97681,TTM,9690,4675,5015.0,3417,Energy,Power & Utilities,Large Cap,False,False,False,CCC Data Unavailable,0.4825,32010,57532,-25522,0.56,Negative
870,NTPC,Sep 2024,9697.0,158575,242009,81950,492230,259252,95612,16500,120866,492230,TTM,185892,133499,52392.0,22546,Energy,Power & Utilities,Large Cap,False,False,False,CCC Data Unavailable,0.7182,137366,323959,-186593,0.42,Negative
857,ONGC,Sep 2024,6290.0,345986,191489,213848,757614,350438,91497,106077,209602,757614,TTM,658694,572824,85870.0,42320,Energy,Oil & Gas Exploration,Large Cap,False,False,False,CCC Data Unavailable,0.8696,315679,405337,-89658,0.78,Negative
1160,POWERGRID,Sep 2024,9301.0,82760,122568,40668,255297,174178,23767,3410,53941,255297,TTM,45812,6577,39235.0,15712,Energy,Power Transmission,Large Cap,False,False,False,CCC Data Unavailable,0.1436,57351,163236,-105885,0.35,Negative
1186,RELIANCE,Sep 2024,6766.0,812687,357525,638145,1815123,968747,198873,244559,402944,1815123,TTM,939838,775710,164128.0,79941,Energy,Conglomerates,Large Cap,False,False,False,CCC Data Unavailable,0.8254,647503,995670,-348167,0.65,Negative
1413,TATACONSUM,Sep 2024,99.0,19033,2955,8883,30970,21712,193,992,8074,30970,TTM,16297,13802,2496.0,1170,Consumer Staples,Food & Beverages,Large Cap,False,False,False,CCC Data Unavailable,0.8469,9066,11838,-2772,0.77,Negative
1478,TATAMOTORS,Sep 2024,736.0,100326,106549,183045,390656,157718,15526,33381,184031,390656,TTM,440061,379564,60497.0,33816,Consumer Discretionary,Automobiles,Large Cap,False,False,False,CCC Data Unavailable,0.8625,217412,289594,-72182,0.75,Negative
1465,TATAPOWER,Sep 2024,320.0,33360,58314,53137,145130,70167,14306,15441,45216,145130,TTM,63489,52432,11057.0,4403,Energy,Power & Utilities,Mid Cap,False,False,False,CCC Data Unavailable,0.8258,60657,111451,-50794,0.54,Negative
1439,TATASTEEL,Sep 2024,1247.0,88900,99392,91302,280841,149550,39051,6471,85769,280841,TTM,221012,195697,25314.0,2527,Materials,Steel,Mid Cap,False,False,False,CCC Data Unavailable,0.8855,92240,190694,-98454,0.48,Negative
1374,TORNTPHARM,Sep 2024,169.0,7335,3128,4456,15088,7890,412,127,6659,15088,TTM,11302,7662,3640.0,1862,Healthcare,Pharmaceuticals,Large Cap,False,False,False,CCC Data Unavailable,0.6779,6786,7584,-798,0.89,Negative
1335,ULTRACEMCO,Sep 2024,289.0,61076,16964,29282,107611,68042,6410,7579,25579,107611,TTM,71317,59261,12056.0,6252,,,,False,False,False,CCC Data Unavailable,0.831,33158,46246,-13088,0.72,Negative
1259,VEDL,2024.5,391.0,37097,79808,87879,205175,100699,27719,12823,63934,205175,TTM,144448,107376,37072.0,15841,,,,False,False,False,CCC Data Unavailable,0.7434,76757,167687,-90930,0.46,Negative
