company_id,company_name,sector,cluster,archetype
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,0,"High-Margin, Low-Leverage Leaders"
BEL,Bharat Electronics Ltd,Industrials,0,"High-Margin, Low-Leverage Leaders"
DIVISLAB,Divis Laboratories Ltd,Healthcare,0,"High-Margin, Low-Leverage Leaders"
HAL,Hindustan Aeronautics Ltd,Industrials,0,"High-Margin, Low-Leverage Leaders"
ITC,"ITC Ltd
",Consumer Staples,0,"High-Margin, Low-Leverage Leaders"
LICI,Life Insurance Corporation of India,Financials,0,"High-Margin, Low-Leverage Leaders"
SBILIFE,SBI Life Insurance Company Ltd,Financials,0,"High-Margin, Low-Leverage Leaders"
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,1,High-Operating-Margin Growth Companies
BHARTIARTL,Bharti Airtel Ltd,Communication Services,1,High-Operating-Margin Growth Companies
CIPLA,"Cipla Ltd
",Healthcare,1,High-Operating-Margin Growth Companies
COALINDIA,Coal India Ltd,Materials,1,High-Operating-Margin Growth Companies
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,1,High-Operating-Margin Growth Companies
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,1,High-Operating-Margin Growth Companies
HINDALCO,Hindalco Industries Ltd,Materials,1,High-Operating-Margin Growth Companies
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,1,High-Operating-Margin Growth Companies
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,1,High-Operating-Margin Growth Companies
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,1,High-Operating-Margin Growth Companies
JSWENERGY,JSW Energy Ltd,Energy,1,High-Operating-Margin Growth Companies
NHPC,"NHPC Ltd
",Energy,1,High-Operating-Margin Growth Companies
POWERGRID,Power Grid Corporation of India Ltd,Energy,1,High-Operating-Margin Growth Companies
AXISBANK,Axis Bank Ltd,Financials,2,High-Leverage / Weak-Cash-Flow Companies
BAJFINANCE,Bajaj Finance Ltd,Financials,2,High-Leverage / Weak-Cash-Flow Companies
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2,High-Leverage / Weak-Cash-Flow Companies
BANKBARODA,Bank of Baroda,Financials,2,High-Leverage / Weak-Cash-Flow Companies
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2,High-Leverage / Weak-Cash-Flow Companies
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2,High-Leverage / Weak-Cash-Flow Companies
GRASIM,Grasim Industries Ltd,Industrials,2,High-Leverage / Weak-Cash-Flow Companies
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,2,High-Leverage / Weak-Cash-Flow Companies
INDUSINDBK,IndusInd Bank Ltd,Financials,2,High-Leverage / Weak-Cash-Flow Companies
JIOFIN,Jio Financial Services Ltd,Financials,2,High-Leverage / Weak-Cash-Flow Companies
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,2,High-Leverage / Weak-Cash-Flow Companies
PFC,Power Finance Corporation Ltd,Financials,2,High-Leverage / Weak-Cash-Flow Companies
PNB,Punjab National Bank,Financials,2,High-Leverage / Weak-Cash-Flow Companies
RECLTD,REC Ltd,Financials,2,High-Leverage / Weak-Cash-Flow Companies
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,2,High-Leverage / Weak-Cash-Flow Companies
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,2,High-Leverage / Weak-Cash-Flow Companies
ABB,Abbott India Ltd,Industrials,3,Diversified Core Large-Cap Companies
ADANIENSOL,Adani Energy Solutions Ltd,Energy,3,Diversified Core Large-Cap Companies
ADANIENT,Adani Enterprises Ltd,Industrials,3,Diversified Core Large-Cap Companies
ADANIPOWER,Adani Power Ltd,Energy,3,Diversified Core Large-Cap Companies
