company_id,company_name,sector,cluster,archetype,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,free_cash_flow_cr,capex_cr,cash_from_operations_cr,market_cap_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct
ABB,Abbott India Ltd,Industrials,0,Archetype 1,20.53,25.0,0.0224,141.75,797.0,416.0,1213.0,1536236.24,75.58,4.48,12.63,0.96
ADANIENSOL,Adani Energy Solutions Ltd,Energy,0,Archetype 1,7.199999999999999,30.0,2.9325,2.2848,1095.0,4943.0,6038.0,348517.36,58.5,9.05,14.83,1.65
ADANIENT,Adani Enterprises Ltd,Industrials,0,Archetype 1,3.46,12.0,1.6714,2.7493,-8455.0,18767.0,10312.0,187927.97,58.87,10.41,33.01,0.83
ADANIGREEN,Adani Green Energy Ltd,Energy,0,Archetype 1,13.67,79.0,6.5953,1.7139,-13347.0,21060.0,7713.0,510512.78,45.26,6.24,21.78,0.89
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,0,Archetype 1,30.34,58.0,0.9373,5.9495,8250.0,6768.0,15018.0,675598.01,48.9,2.31,31.76,1.16
ADANIPOWER,Adani Power Ltd,Energy,0,Archetype 1,41.37,36.0,0.8023,8.2972,17651.0,3481.0,14170.0,1372183.55,44.57,9.91,24.76,1.65
ATGL,Adani Total Gas Ltd,Energy,0,Archetype 1,14.120000000000001,24.0,0.43579999999999997,11.3613,1068.5,3699.5,5658.0,1535602.41,56.96,5.76,28.93,0.51
AMBUJACEM,Ambuja Cements Ltd,Materials,0,Archetype 1,14.29,19.0,0.0169,28.2645,-3295.0,8941.0,5646.0,1281411.04,55.62,9.21,27.67,3.1
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,0,Archetype 1,4.91,13.0,0.7689,5.5657,383.0,1537.0,1920.0,1905622.43,47.72,7.68,16.74,3.22
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,0,Archetype 1,15.66,21.0,0.1321,41.0049,3556.0,2548.0,6104.0,2126725.18,73.37,3.9,23.94,2.42
DMART,Avenue Supermarts Ltd,Consumer Discretionary,0,Archetype 1,4.99,8.0,0.0317,73.2931,278.0,2468.0,2746.0,3053088.97,72.53,11.71,36.84,1.94
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,0,Archetype 1,17.18,20.0,0.066,174.4167,6486.0,72.0,6558.0,653817.3,29.91,9.83,20.14,3.59
BAJAJFINSV,Bajaj Finserv Ltd,Financials,0,Archetype 1,14.13,37.0,4.7894,2.1971,-79634.0,10960.0,-68674.0,1905112.17,15.07,6.08,39.72,2.56
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,0,Archetype 1,432.73,92.0,0.0012,3764.5,1469.0,472.0,1941.0,2191568.13,37.73,9.38,27.47,3.37
