id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,equity,sales,operating_profit,interest,net_profit,debt_to_equity,debt_ratio,equity_ratio,interest_coverage,financial_leverage,leverage_risk,interest_coverage_status,company_name,roe_percentage,roce_percentage,broad_sector
160,ADANIENSOL,Sep 2024,1201.0,19784,39009,9113,69107,38186,4355,1608,24958,69107,20985.0,22099,6592.0,3183,589,1.86,0.56,0.3,2.07,3.29,High,Adequate,Adani Energy Solutions Ltd,8.59,9.0,Energy
182,ADANIENT,Sep 2024,114.0,41782,80427,59445,181768,84751,29745,10322,56949,181768,41896.0,102311,13893.0,4150,6086,1.92,0.44,0.23,3.35,4.34,High,Adequate,Adani Enterprises Ltd,13.64,11.6,Industrials
200,ADANIGREEN,Sep 2024,1584.0,8992,67430,20252,98258,64632,14617,2331,16678,98258,10576.0,10782,8100.0,4959,1928,6.38,0.69,0.11,1.63,9.29,High,Weak,Adani Green Energy Ltd,14.7,96.5,Energy
298,AXISBANK,Mar 2024,617.0,156406,1295302,65913,1518239,5860,267,332354,1179758,1518239,157023.0,120659,44566.0,25243,26386,8.25,0.85,0.1,1.77,9.67,High,Weak,Axis Bank Ltd,18.4,7.06,Financials
324,BAJAJFINSV,Sep 2024,160.0,68165,318675,214195,601195,6048,105,185250,409792,601195,68325.0,126263,45479.0,21568,16520,4.66,0.53,0.11,2.11,8.8,High,Adequate,Bajaj Finserv Ltd,11.72,21.14,Financials
348,BAJFINANCE,Sep 2024,124.0,86679,324218,9635,420656,3423,29,31036,386167,420656,86803.0,62279,18943.0,29,15389,3.74,0.77,0.21,653.21,4.85,High,Strong,Bajaj Finance Ltd,22.1,11.9,Financials
360,BANKBARODA,Mar 2024,1036.0,118677,1453761,81302,1654775,9054,6,407136,1238579,1654775,119713.0,124144,46459.0,23807,20144,12.14,0.88,0.07,1.95,13.82,High,Weak,Bank of Baroda,16.7,6.33,Financials
386,BHARTIARTL,Sep 2024,2896.0,84202,225541,148344,460982,330199,8753,34438,87592,460982,87098.0,155478,80733.0,22424,13816,2.59,0.49,0.19,3.6,5.29,High,Adequate,Bharti Airtel Ltd,14.9,13.1,Communication Services
450,CANBK,Mar 2024,1814.0,90319,1369780,73104,1535018,12331,0,399207,1123480,1535018,92133.0,119392,48026.0,30394,16571,14.87,0.89,0.06,1.58,16.66,High,Weak,Canara Bank,17.9,6.63,Financials
463,CHOLAFIN,Sep 2024,168.0,21243,157943,2591,181945,1669,0,5787,174489,181945,21411.0,22502,6452.0,248,3852,7.38,0.87,0.12,26.02,8.5,High,Strong,Cholamandalam Investment & Finance Company Ltd,20.2,10.4,Financials
606,GRASIM,Sep 2024,134.0,92784,158159,197376,448454,109643,15903,102453,220454,448454,92918.0,137116,27506.0,10696,8693,1.7,0.35,0.21,2.57,4.83,High,Adequate,Grasim Industries Ltd,6.9,9.3,Industrials
667,HDFCBANK,Mar 2024,760.0,455636,3107503,466296,4030194,12604,0,1005682,3011909,4030194,456396.0,329022,206009.0,146017,72168,6.81,0.77,0.11,1.41,8.83,High,Weak,HDFC Bank Ltd,17.1,7.67,Financials
730,ICICIBANK,Mar 2024,1405.0,254739,1651008,456911,2364063,15714,0,827163,1521186,2364063,256144.0,180551,125722.0,101817,52416,6.45,0.7,0.11,1.23,9.23,High,Weak,ICICI Bank Ltd,18.8,7.6,Financials
781,INDUSINDBK,Mar 2024,778.0,62019,432404,19734,514935,2001,197,106527,406211,514935,62797.0,49004,20104.0,9521,8122,6.89,0.84,0.12,2.11,8.2,High,Adequate,IndusInd Bank Ltd,15.2,7.93,Financials
831,IRFC,Sep 2024,13069.0,38396,403111,39773,494348,23,0,56,494269,494348,51465.0,26902,26758.0,20223,6537,7.83,0.82,0.1,1.32,9.61,High,Weak,Indian Railway Finance Corporation Ltd,13.7,5.73,Financials
1032,JSWENERGY,Sep 2024,1745.0,26226,30853,6108,64932,31573,10410,10101,12847,64932,27971.0,11416,5382.0,2083,1988,1.1,0.48,0.43,2.58,2.32,High,Adequate,JSW Energy Ltd,8.4,8.59,Energy
1019,JSWSTEEL,Sep 2024,305.0,79361,95258,58244,233168,114294,29555,10740,78579,233168,79666.0,170274,22478.0,8380,3312,1.2,0.41,0.34,2.68,2.93,High,Adequate,JSW Steel Ltd,11.66,13.36,Materials
1006,KOTAKBANK,Mar 2024,994.0,128978,520374,117321,767667,3510,0,246446,517711,767667,129972.0,64053,50872.0,43559,22530,4.0,0.68,0.17,1.17,5.91,High,Weak,"Kotak Mahindra Bank Ltd
",15.1,7.86,Financials
948,M&M,Sep 2024,558.0,69944,116844,67934,255280,35328,4544,34411,180997,255280,70502.0,145893,27204.0,8259,13009,1.66,0.46,0.28,3.29,3.62,High,Adequate,"Mahindra & Mahindra Ltd
",17.99,26.98,Consumer Discretionary
870,NTPC,Sep 2024,9697.0,158575,242009,81950,492230,259252,95612,16500,120866,492230,168272.0,185892,52392.0,12475,22546,1.44,0.49,0.34,4.2,2.93,High,Adequate,NTPC Ltd,12.52,10.58,Energy
