id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,current_assets,current_liabilities,working_capital,current_ratio,wc_status
1259,VEDL,2024.5,391.0,37097,79808,87879,205175,100699,27719,12823,63934,205175,76757,167687,-90930,0.46,Negative
160,ADANIENSOL,Sep 2024,1201.0,19784,39009,9113,69107,38186,4355,1608,24958,69107,26566,48122,-21556,0.55,Negative
182,ADANIENT,Sep 2024,114.0,41782,80427,59445,181768,84751,29745,10322,56949,181768,67271,139872,-72601,0.48,Negative
200,ADANIGREEN,Sep 2024,1584.0,8992,67430,20252,98258,64632,14617,2331,16678,98258,19009,87682,-68673,0.22,Negative
213,ADANIPORTS,Sep 2024,432.0,56744,50485,18354,126015,79136,13328,4489,29062,126015,33551,68839,-35288,0.49,Negative
226,ADANIPOWER,Sep 2024,3857.0,52097,37705,17125,110784,71147,9455,321,29863,110784,30184,54830,-24646,0.55,Negative
252,APOLLOHOSP,Sep 2024,72.0,7429,7371,4676,19548,10201,1042,1012,7293,19548,8305,12047,-3742,0.69,Negative
286,ATGL,Sep 2024,110.0,3801,1457,1474,6842,3421,1527,922,974,6842,1896,2931,-1035,0.65,Negative
386,BHARTIARTL,Sep 2024,2896.0,84202,225541,148344,460982,330199,8753,34438,87592,460982,122030,373885,-251855,0.33,Negative
425,BPCL,Sep 2024,4273.0,72835,58880,75238,211226,100261,9127,27239,74599,211226,101838,134118,-32280,0.76,Negative
489,COALINDIA,Sep 2024,6163.0,90034,7816,145345,249359,83642,16129,9058,140529,249359,149587,153161,-3574,0.98,Negative
606,GRASIM,Sep 2024,134.0,92784,158159,197376,448454,109643,15903,102453,220454,448454,322907,355535,-32628,0.91,Negative
616,HAL,Sep 2024,5.0,202,124,145,476,244,3,48,181,476,229,269,-40,0.85,Negative
705,HINDALCO,Sep 2024,222.0,114954,60959,76129,252264,111404,22341,22453,96066,252264,118519,137088,-18569,0.86,Negative
718,HINDUNILVR,Sep 2024,235.0,50541,1651,28338,80765,54027,1022,4316,21400,80765,25716,29989,-4273,0.86,Negative
807,IOC,Sep 2024,13772.0,167594,163401,165544,510310,202737,66316,70178,171079,510310,241257,328945,-87688,0.73,Negative
857,ONGC,Sep 2024,6290.0,345986,191489,213848,757614,350438,91497,106077,209602,757614,315679,405337,-89658,0.78,Negative
870,NTPC,Sep 2024,9697.0,158575,242009,81950,492230,259252,95612,16500,120866,492230,137366,323959,-186593,0.42,Negative
883,NHPC,Sep 2024,10045.0,30104,34210,23322,97681,21286,44386,499,31511,97681,32010,57532,-25522,0.56,Negative
896,NESTLEIND,Sep 2024,96.0,3894,370,6747,11108,3925,2340,786,4057,11108,4843,7117,-2274,0.68,Negative
922,MOTHERSON,Sep 2024,704.0,31930,25417,39828,97879,32455,2693,6615,56115,97879,62730,65245,-2515,0.96,Negative
1019,JSWSTEEL,Sep 2024,305.0,79361,95258,58244,233168,114294,29555,10740,78579,233168,89319,153502,-64183,0.58,Negative
1032,JSWENERGY,Sep 2024,1745.0,26226,30853,6108,64932,31573,10410,10101,12847,64932,22948,36961,-14013,0.62,Negative
1048,JINDALSTEL,Sep 2024,101.0,47240,17266,18163,82771,49332,12418,863,20158,82771,21021,35429,-14408,0.59,Negative
1160,POWERGRID,Sep 2024,9301.0,82760,122568,40668,255297,174178,23767,3410,53941,255297,57351,163236,-105885,0.35,Negative
1186,RELIANCE,Sep 2024,6766.0,812687,357525,638145,1815123,968747,198873,244559,402944,1815123,647503,995670,-348167,0.65,Negative
1335,ULTRACEMCO,Sep 2024,289.0,61076,16964,29282,107611,68042,6410,7579,25579,107611,33158,46246,-13088,0.72,Negative
1374,TORNTPHARM,Sep 2024,169.0,7335,3128,4456,15088,7890,412,127,6659,15088,6786,7584,-798,0.89,Negative
1413,TATACONSUM,Sep 2024,99.0,19033,2955,8883,30970,21712,193,992,8074,30970,9066,11838,-2772,0.77,Negative
1439,TATASTEEL,Sep 2024,1247.0,88900,99392,91302,280841,149550,39051,6471,85769,280841,92240,190694,-98454,0.48,Negative
1465,TATAPOWER,Sep 2024,320.0,33360,58314,53137,145130,70167,14306,15441,45216,145130,60657,111451,-50794,0.54,Negative
1478,TATAMOTORS,Sep 2024,736.0,100326,106549,183045,390656,157718,15526,33381,184031,390656,217412,289594,-72182,0.75,Negative
