id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets
1200,ZYDUSLIFE,2013,102.0,2842,2918,1512,7374,3026,736,114,3498,7374
1201,ZYDUSLIFE,2014,102.0,3337,2700,1847,7986,3124,892,87,3885,7986
1202,ZYDUSLIFE,2015,102.0,4149,2651,2144,9047,3352,798,154,4743,9047
1203,ZYDUSLIFE,2016,102.0,5597,2442,2208,10350,3748,951,416,5235,10350
1204,ZYDUSLIFE,2017,102.0,6858,5207,2937,15104,5755,1543,435,7371,15104
1205,ZYDUSLIFE,2018,102.0,8642,5407,3632,17783,6483,1527,746,9028,17783
1206,ZYDUSLIFE,2019,102.0,10284,7899,4945,23231,12164,837,674,9556,23231
1207,ZYDUSLIFE,2020,102.0,10273,7986,5115,23477,12230,742,765,9740,23477
1208,ZYDUSLIFE,2021,102.0,12890,4608,6165,23765,12133,783,830,10019,23765
1209,ZYDUSLIFE,2022,102.0,16897,4221,6421,27642,12188,726,3288,11439,27642
1210,ZYDUSLIFE,2023,101.0,17415,1195,6851,25562,11521,1201,1547,11294,25562
1211,ZYDUSLIFE,2024,101.0,19729,804,8201,28834,12368,2423,1220,12822,28834
1212,ZYDUSLIFE,2024.5,101.0,21724,190,9431,31446,14304,1051,2596,13495,31446
1226,ZOMATO,2018,0.0,1036,186,152,1374,190,1,829,354,1374
1227,ZOMATO,2019,0.0,2356,348,709,3413,389,1,2145,879,3413
1228,ZOMATO,2020,0.0,457,326,2117,2900,1591,1,324,985,2900
1229,ZOMATO,2021,0.0,7644,527,532,8704,1539,0,2205,4959,8704
1230,ZOMATO,2022,764.0,15741,70,751,17327,1404,1,4718,11204,17327
1231,ZOMATO,2023,836.0,18624,507,1632,21599,6344,7,6765,8483,21599
1232,ZOMATO,2024,868.0,19545,749,2194,23356,6448,18,11645,5245,23356
1233,ZOMATO,2024.5,872.0,20446,1159,2728,25205,8390,59,11708,5048,25205
1234,WIPRO,2013,492.0,26072,6381,10675,43621,9996,407,6765,26454,43621
1235,WIPRO,2014,493.0,31636,5159,12245,49533,10649,369,6146,32368,49533
1236,WIPRO,2015,494.0,36598,7891,13367,58350,10837,395,5532,41586,58350
1237,WIPRO,2016,494.0,45651,12522,12924,71590,17279,381,20915,33016,71590
1238,WIPRO,2017,486.0,51184,14241,12761,78672,19886,738,29913,28135,78672
1239,WIPRO,2018,905.0,47022,13901,13563,75391,18127,1378,25797,30090,75391
1240,WIPRO,2019,1207.0,55216,9947,16217,82586,17465,2142,22887,40093,82586
