id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow
1170,ULTRACEMCO,Mar 2013,3618.0,-4362.0,715.0,-30.0
1171,ULTRACEMCO,Mar 2014,3455.0,-2342.0,-949.0,164.0
1172,ULTRACEMCO,Mar 2015,4190.0,-2144.0,-2110.0,-63.0
1173,ULTRACEMCO,Mar 2016,4526.0,-3673.0,-844.0,8.0
1174,ULTRACEMCO,Mar 2017,5005.0,-2501.0,-2535.0,-31.0
1175,ULTRACEMCO,Mar 2018,3888.0,1866.0,-5735.0,18.0
1176,ULTRACEMCO,Mar 2019,5956.0,1165.0,-6757.0,364.0
1177,ULTRACEMCO,Mar 2020,8972.0,-4192.0,-5076.0,-295.0
1178,ULTRACEMCO,Mar 2021,12500.0,-8856.0,-4356.0,-712.0
1179,ULTRACEMCO,Mar 2022,9283.0,2257.0,-12498.0,-958.0
1180,ULTRACEMCO,Mar 2023,9069.0,-7188.0,-1631.0,250.0
1181,ULTRACEMCO,Mar 2024,10898.0,-8789.0,-1926.0,183.0
1182,UNIONBANK,Mar 2013,-4245.0,-343.0,5096.0,507.0
1183,UNIONBANK,Mar 2014,2570.0,-363.0,4902.0,7109.0
1184,UNIONBANK,Mar 2015,-3567.0,-318.0,3168.0,-718.0
1185,UNIONBANK,Mar 2016,81.0,-9.0,-2.0,70.0
1186,UNIONBANK,Mar 2017,-6624.0,-280.0,10194.0,3289.0
1187,UNIONBANK,Mar 2018,6097.0,-315.0,10792.0,16574.0
1188,UNIONBANK,Mar 2019,-7778.0,-297.0,1758.0,-6317.0
1189,UNIONBANK,Mar 2020,-77.0,-4.0,201.0,121.0
1190,UNIONBANK,Mar 2021,20527.0,-601.0,-18861.0,1066.0
1191,UNIONBANK,Mar 2022,36339.0,-558.0,-786.0,34995.0
1192,UNIONBANK,Mar 2023,6056.0,-2561.0,-10654.0,-7159.0
1193,UNIONBANK,Mar 2024,19930.0,-1394.0,-11489.0,7047.0
1194,UNITDSPR,Mar 2013,1969.0,-1121.0,-992.0,-145.0
1195,UNITDSPR,Mar 2014,-552.0,-252.0,1235.0,431.0
1196,UNITDSPR,Mar 2015,-196.0,3855.0,-4002.0,-343.0
1197,UNITDSPR,Mar 2016,283.0,733.0,-1155.0,-139.0
1198,UNITDSPR,Mar 2017,647.0,-227.0,-475.0,-56.0
1199,UNITDSPR,Mar 2018,925.0,104.0,-966.0,63.0
1200,UNITDSPR,Mar 2019,948.0,-66.0,-808.0,74.0
1201,UNITDSPR,Mar 2020,783.0,-194.0,-740.0,-150.0
1202,UNITDSPR,Mar 2021,1818.0,-99.0,-1707.0,12.0
1203,UNITDSPR,Mar 2022,977.0,-313.0,-688.0,-23.0
1204,UNITDSPR,Mar 2023,615.0,-55.0,-500.0,60.0
1205,UNITDSPR,Mar 2024,1118.0,226.0,-407.0,937.0
1206,VBL,Dec 2012,280.0,-507.0,229.0,3.0
1207,VBL,Dec 2013,297.0,-574.0,274.0,-2.0
1208,VBL,Dec 2014,431.0,-500.0,58.0,-11.0
1209,VBL,Dec 2015,555.0,-300.0,-236.0,19.0
1210,VBL,Dec 2016,826.0,-1048.0,230.0,8.0
1211,VBL,Dec 2017,620.0,-746.0,159.0,32.0
1212,VBL,Dec 2018,1000.0,-937.0,-84.0,-22.0
1213,VBL,Dec 2019,1308.0,-2320.0,1107.0,95.0
1214,VBL,Dec 2020,1012.0,-472.0,-574.0,-33.0
1215,VBL,Dec 2021,1231.0,-1008.0,-178.0,46.0
1216,VBL,Dec 2022,1790.0,-1769.0,-18.0,4.0
1217,VBL,Dec 2023,2391.0,-3288.0,985.0,88.0
1218,VEDL,Mar 2013,22.0,-311.0,238.0,-51.0
1219,VEDL,Mar 2014,15601.0,-2890.0,-5052.0,7659.0
1220,VEDL,Mar 2015,17805.0,-4133.0,-13956.0,-284.0
1221,VEDL,Mar 2016,20377.0,-7868.0,-11303.0,1206.0
1222,VEDL,Mar 2017,18083.0,2681.0,-12425.0,8339.0
1223,VEDL,Mar 2018,17366.0,15480.0,-39255.0,-6409.0
1224,VEDL,Mar 2019,23754.0,-10594.0,-10242.0,2918.0
1225,VEDL,Mar 2020,19300.0,-5925.0,-15547.0,-2172.0
1226,VEDL,Mar 2021,23980.0,-6678.0,-17565.0,-263.0
1227,VEDL,Mar 2022,34963.0,-2243.0,-28903.0,3817.0
1228,VEDL,Mar 2023,33065.0,-668.0,-34142.0,-1745.0
1229,VEDL,Mar 2024,35654.0,-13676.0,-26092.0,-4114.0
1230,WIPRO,Mar 2013,6394.0,-4536.0,-1140.0,717.0
1231,WIPRO,Mar 2014,6790.0,-284.0,-3570.0,2936.0
1232,WIPRO,Mar 2015,7840.0,-2537.0,-830.0,4474.0
1233,WIPRO,Mar 2016,7887.0,-13761.0,-159.0,-6032.0
1234,WIPRO,Mar 2017,9277.0,-11770.0,-2275.0,-4767.0
1235,WIPRO,Mar 2018,8423.0,3595.0,-12998.0,-979.0
1236,WIPRO,Mar 2019,11632.0,5065.0,-4937.0,11760.0
1237,WIPRO,Mar 2020,10064.0,3593.0,-15100.0,-1442.0
1238,WIPRO,Mar 2021,14755.0,685.0,-12884.0,2556.0
1239,WIPRO,Mar 2022,11080.0,-22321.0,4659.0,-6583.0
1240,WIPRO,Mar 2023,13060.0,-8169.0,-6088.0,-1197.0
1241,WIPRO,Mar 2024,17622.0,1144.0,-18257.0,509.0
1242,ZOMATO,Mar 2020,-2144.0,1740.0,359.0,-45.0
1243,ZOMATO,Mar 2021,-1018.0,-5245.0,6402.0,139.0
1244,ZOMATO,Mar 2022,-693.0,-7971.0,8750.0,86.0
1245,ZOMATO,Mar 2023,-844.0,797.0,-127.0,-174.0
1246,ZOMATO,Mar 2024,646.0,-348.0,-207.0,91.0
1247,ZYDUSLIFE,Mar 2013,603.0,-682.0,286.0,207.0
1248,ZYDUSLIFE,Mar 2014,903.0,-438.0,-529.0,-64.0
1249,ZYDUSLIFE,Mar 2015,994.0,-465.0,-351.0,178.0
1250,ZYDUSLIFE,Mar 2016,1894.0,-860.0,-935.0,99.0
1251,ZYDUSLIFE,Mar 2017,1312.0,-2872.0,2316.0,756.0
1252,ZYDUSLIFE,Mar 2018,919.0,-974.0,52.0,-3.0
1253,ZYDUSLIFE,Mar 2019,1282.0,-3977.0,1885.0,-811.0
1254,ZYDUSLIFE,Mar 2020,2932.0,-1004.0,-1528.0,399.0
1255,ZYDUSLIFE,Mar 2021,3294.0,-837.0,-2548.0,-90.0
1256,ZYDUSLIFE,Mar 2022,2104.0,-1018.0,-868.0,219.0
1257,ZYDUSLIFE,Mar 2023,2689.0,1542.0,-4400.0,-170.0
1258,ZYDUSLIFE,Mar 2024,3228.0,-1492.0,-1810.0,-75.0
