id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
1149,ULTRACEMCO,2013,13.1,24.0,17.65,0.4821,20.4087,0.6935,-744.0,4362.0,98.0,5.558,9.0,7342,3618.0
1150,ULTRACEMCO,2014,10.68,19.0,12.88,0.4267,12.0693,0.6441,1113.0,2342.0,80.0,6.2708,11.0,7332,3455.0
1151,ULTRACEMCO,2015,9.02,19.0,11.04,0.5162,8.1346,0.6125,2046.0,2144.0,76.0,6.9493,12.0,9829,4190.0
1152,ULTRACEMCO,2016,9.86,19.0,11.3,0.4838,9.4788,0.6106,853.0,3673.0,90.0,8.0091,11.0,10616,4526.0
1153,ULTRACEMCO,2017,10.7,21.0,11.13,0.3474,9.1562,0.6012,2504.0,2501.0,99.0,8.8698,10.0,8474,5005.0
1154,ULTRACEMCO,2018,7.180000000000001,20.0,8.43,0.7384,5.1591,0.5422,5754.0,1866.0,81.0,9.5935,13.0,19480,3888.0
1155,ULTRACEMCO,2019,5.79,18.0,7.109999999999999,0.7507,4.329,0.5418,7121.0,1165.0,88.0,12.2731,13.0,25337,5956.0
1156,ULTRACEMCO,2020,13.55,22.0,14.73,0.5896,4.9684,0.5356,4780.0,4192.0,199.0,13.51,7.0,23019,8972.0
1157,ULTRACEMCO,2021,12.21,26.0,12.36,0.4917,8.2012,0.519,3644.0,8856.0,189.0,15.2855,20.0,21719,12500.0
1158,ULTRACEMCO,2022,13.94,22.0,14.54,0.224,12.8921,0.6276,11540.0,2257.0,254.0,17.4519,15.0,11299,9283.0
1159,ULTRACEMCO,2023,8.02,17.0,9.34,0.2036,13.52,0.6921,1881.0,7188.0,175.0,18.7976,22.0,11058,9069.0
1160,ULTRACEMCO,2024,9.88,18.0,11.63,0.1893,13.9835,0.7035,2109.0,8789.0,243.0,20.8401,29.0,11403,10898.0
1161,UNIONBANK,2013,8.53,1.0,12.39,16.6054,0.1817,0.0804,-4588.0,343.0,36.0,2.901,22.0,287589,-4245.0
1162,UNIONBANK,2014,5.74,-3.0,9.05,17.5528,0.1043,0.0828,2207.0,363.0,27.0,2.9578,15.0,327078,2570.0
1163,UNIONBANK,2015,5.510000000000001,-3.0,8.9,17.7204,0.1262,0.0839,-3885.0,318.0,28.0,3.1288,22.0,352618,-3567.0
1164,UNIONBANK,2016,4.17,-6.0,5.84,16.2597,0.084,0.0793,72.0,9.0,20.0,3.3549,10.0,374754,81.0
1165,UNIONBANK,2017,1.75,-15.0,2.38,17.3669,0.0252,0.072,-6904.0,280.0,8.0,3.507,0.0,418420,-6624.0
1166,UNIONBANK,2018,-15.82,-36.0,-20.64,18.0567,-0.2658,0.0671,5782.0,315.0,-45.0,2.1601,0.0,455969,6097.0
1167,UNIONBANK,2019,-8.52,-25.0,-10.89,17.1702,-0.1489,0.0688,-8075.0,297.0,-17.0,1.5222,0.0,460780,-7778.0
1168,UNIONBANK,2020,-8.33,-25.0,-9.18,14.8617,-0.1445,0.0675,-81.0,4.0,-9.0,0.993,0.0,505150,-77.0
1169,UNIONBANK,2021,4.130000000000001,-16.0,4.42,15.1005,0.0734,0.064,19926.0,601.0,4.0,1.0104,0.0,977576,20527.0
1170,UNIONBANK,2022,7.720000000000001,-6.0,7.430000000000001,15.3203,0.2317,0.0572,35781.0,558.0,8.0,1.0367,25.0,1085613,36339.0
1171,UNIONBANK,2023,10.49,-4.0,10.8,14.7589,0.2684,0.063,3495.0,2561.0,12.0,1.1529,24.0,1163059,6056.0
1172,UNIONBANK,2024,13.75,5.0,14.14,12.8237,0.3536,0.0716,18536.0,1394.0,18.0,1.2785,20.0,1251568,19930.0
