id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout
1263,ULTRACEMCO,Mar 2013,20514,15674,4839.0,24.0,304,252,1023,3867,30.0,2688,98.0,9.0
1264,ULTRACEMCO,Mar 2014,20730,16695,4035.0,19.0,322,361,1139,2858,23.0,2213,80.0,11.0
1265,ULTRACEMCO,Mar 2015,23306,18881,4425.0,19.0,350,587,1203,2986,30.0,2102,76.0,12.0
1266,ULTRACEMCO,Mar 2016,25153,20252,4901.0,19.0,464,566,1377,3421,28.0,2480,90.0,11.0
1267,ULTRACEMCO,Mar 2017,25375,20162,5212.0,21.0,648,640,1348,3872,30.0,2714,99.0,10.0
1268,ULTRACEMCO,Mar 2018,30979,24834,6145.0,20.0,242,1238,1848,3301,33.0,2224,81.0,13.0
1269,ULTRACEMCO,Mar 2019,41462,34115,7347.0,18.0,350,1778,2451,3468,31.0,2400,88.0,13.0
1270,ULTRACEMCO,Mar 2020,42430,33184,9246.0,22.0,651,1992,2723,5183,-11.0,5751,199.0,7.0
1271,ULTRACEMCO,Mar 2021,44726,33158,11568.0,26.0,619,1486,2700,8001,32.0,5462,189.0,20.0
1272,ULTRACEMCO,Mar 2022,52599,41084,11514.0,22.0,669,945,2715,8524,14.0,7334,254.0,15.0
1273,ULTRACEMCO,Mar 2023,63240,52620,10620.0,17.0,507,823,2888,7416,32.0,5073,175.0,22.0
1274,ULTRACEMCO,Mar 2024,70908,57940,12969.0,18.0,567,968,3145,9422,26.0,7004,243.0,29.0
1275,ULTRACEMCO,TTM,71317,59261,12056.0,17.0,739,1216,3478,8101,,6252,216.0,
1276,UNIONBANK,Mar 2013,25169,7268,325.0,1.0,2868,17575,156,3037,30.0,2146,36.0,22.0
1277,UNIONBANK,Mar 2014,29394,8829,-902.0,-3.0,3141,21467,198,2040,18.0,1687,27.0,15.0
1278,UNIONBANK,Mar 2015,32164,9498,-973.0,-3.0,3957,23640,225,2759,36.0,1771,28.0,22.0
1279,UNIONBANK,Mar 2016,32316,10349,-1928.0,-6.0,3934,23894,249,1758,24.0,1347,20.0,10.0
1280,UNIONBANK,Mar 2017,32817,13871,-4830.0,-15.0,5430,23771,241,359,-58.0,573,8.0,0.0
1281,UNIONBANK,Mar 2018,32952,21181,-11700.0,-36.0,5462,23471,368,-6607,-21.0,-5212,-45.0,0.0
1282,UNIONBANK,Mar 2019,34314,19019,-8601.0,-25.0,5042,23896,374,-3933,-25.0,-2922,-17.0,0.0
1283,UNIONBANK,Mar 2020,37479,21166,-9523.0,-25.0,5789,25837,417,-4151,-27.0,-3121,-9.0,0.0
1284,UNIONBANK,Mar 2021,69311,36270,-11071.0,-16.0,14307,44112,908,2327,-22.0,2863,4.0,0.0
1285,UNIONBANK,Mar 2022,68230,32264,-4213.0,-6.0,13524,40178,745,8566,39.0,5265,8.0,25.0
1286,UNIONBANK,Mar 2023,81163,36155,-3024.0,-4.0,15915,48033,745,12147,31.0,8512,12.0,24.0
1287,UNIONBANK,Mar 2024,100376,32422,4590.0,5.0,17813,63364,895,21508,36.0,13797,18.0,20.0
1288,UNIONBANK,TTM,107058,35514,2090.0,2.0,20440,69454,0,22530,,16344,21.0,
1289,UNITDSPR,Mar 2013,10378,9287,1091.0,11.0,146,985,178,73,99.0,-105,-2.0,-31.0
1290,UNITDSPR,Mar 2014,10508,13876,-3368.0,-32.0,681,1323,203,-4213,7.0,-4489,-62.0,0.0
1291,UNITDSPR,Mar 2015,9254,9619,-366.0,-4.0,-360,687,223,-1635,3.0,-1687,-23.0,0.0
1292,UNITDSPR,Mar 2016,8495,8162,333.0,4.0,648,457,157,366,61.0,143,2.0,0.0
1293,UNITDSPR,Mar 2017,8818,7826,991.0,11.0,-265,375,189,163,43.0,93,1.0,0.0
1294,UNITDSPR,Mar 2018,8591,7381,1209.0,14.0,172,278,192,912,28.0,652,9.0,0.0
1295,UNITDSPR,Mar 2019,9341,7947,1394.0,15.0,70,237,215,1012,32.0,684,10.0,0.0
1296,UNITDSPR,Mar 2020,9325,7756,1569.0,17.0,89,212,285,1160,47.0,621,9.0,0.0
1297,UNITDSPR,Mar 2021,8131,7080,1051.0,13.0,-25,188,299,540,33.0,362,5.0,0.0
1298,UNITDSPR,Mar 2022,9712,8117,1595.0,16.0,-117,88,304,1087,25.0,811,11.0,0.0
1299,UNITDSPR,Mar 2023,10612,9195,1417.0,13.0,249,104,283,1279,12.0,1126,16.0,0.0
1300,UNITDSPR,Mar 2024,11321,9321,2000.0,18.0,208,76,275,1857,24.0,1408,19.0,46.0
