sector,company_count,average_cfo_pat_ratio,median_cfo_pat_ratio,average_fcf_conversion_pct,median_fcf_conversion_pct,average_capex_intensity_pct,average_cash_flow_score,negative_fcf_count,negative_fcf_pct,strong_cfo_count,weak_or_worse_cfo_count
Communication Services,2,5.199521014294944,5.199521014294944,7.21127345191139,7.21127345191139,33.8298177274438,62.585,1,50.0,1,0
Consumer Discretionary,14,1.0137824711195853,0.9220525775800463,24.626797124719197,23.529805565669413,5.868291518441182,71.90857142857143,2,14.29,5,5
Consumer Staples,7,0.5165035504388003,1.1115405853119824,34.02315477431923,43.416666666666664,9.069527518083174,74.21142857142857,1,14.29,3,1
Energy,14,2.4192624942516483,1.8251461150453967,18.263862669233244,29.139862261143712,36.529154790694925,77.67785714285715,2,14.29,13,1
Financials,23,-0.6490760981725231,-0.2234423394071035,-132.58962162999845,-9.949288795919717,14.614712002604215,42.01391304347826,12,52.17,5,16
Healthcare,6,1.314367547245772,1.128966250951279,42.131860221609344,30.4426034921391,6.754894797781245,82.36,0,0.0,3,1
Industrials,10,-0.2713241271893061,1.1261076138878265,-30.851354305715223,18.208356161776486,13.741161631864543,58.938,4,40.0,3,3
Information Technology,5,1.4495570806452462,1.2366412213740459,67.76042412499157,65.45995536821225,5.084185697813747,89.04400000000001,0,0.0,3,0
Materials,9,0.7617921797208729,1.1916420430561419,9.854443607294,14.432126505002543,10.683581999448613,65.8388888888889,3,33.33,4,2
Real Estate,2,1.274279392671463,1.274279392671463,15.61454369432873,15.61454369432873,26.17876698927852,63.839999999999996,1,50.0,1,0
