company_id,company_name,sector,pe_ratio,pb_ratio,ev_ebitda,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,68.53,7.91,28.82,-3.608906905151208,34.24,200.14602803738316,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,3.65,8.76,0.06861811283803056,47.155,152.45467076662072,Caution
GAIL,GAIL (India) Ltd,Energy,25.84,9.54,33.07,0.28461990353382827,44.915,57.53089168429255,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,13.61,19.29,0.4001945575069012,38.005,41.099855282199705,Discount
INFY,Infosys Ltd,Information Technology,35.99,8.97,36.7,1.808627454139422,63.63,56.56137042275656,Discount
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,9.48,31.04,-0.23688132542403253,34.24,204.3808411214953,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,3.7,28.79,-0.9664534641259643,34.24,26.255841121495326,Discount
IOC,"Indian Oil Corporation
",Energy,28.61,4.24,33.71,2.794810104975634,44.915,63.69809640431927,Discount
SHREECEM,Shree Cement Ltd,Materials,25.87,1.21,26.58,0.06115348347250073,55.62,46.51204602660914,Discount
GRASIM,Grasim Industries Ltd,Industrials,79.35,5.68,15.23,-7.063967310949983,47.155,168.27483829922593,Caution
SBIN,State Bank of India,Financials,54.93,2.72,21.53,0.7563625783740417,34.24,160.42640186915887,Caution
NTPC,NTPC Ltd,Energy,30.8,5.24,37.12,0.9521678733206076,44.915,68.57397306022487,Discount
NHPC,"NHPC Ltd
",Energy,71.17,13.74,18.26,0.05573417784977254,44.915,158.4548591784482,Caution
TRENT,Trent Ltd,Consumer Discretionary,8.65,11.82,34.65,0.14720244295143942,38.005,22.76016313642942,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,10.36,11.72,10.781545408672736,44.915,40.40966269620394,Discount
ABB,Abbott India Ltd,Industrials,75.58,4.48,12.63,0.051880041574855706,47.155,160.27992789735976,Caution
